,Origin_Id,Origin Station Complex Name,Origin Latitude,Origin Longitude,Destination_Id,Destination Station Complex Name,Destination Latitude,Destination Longitude,Origin Point,Destination Point,Estimated_Total_Ridership
642,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,419,"225 St (2,5)",40.888022,-73.860341,POINT (-73.987581 40.755746),POINT (-73.860341 40.888022),3649.2037
460,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,146,181 St (A),40.851695,-73.937969,POINT (-73.977359 40.751992),POINT (-73.937969 40.851695),3646.91
589,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,373,E 149 St (6),40.812118,-73.904098,POINT (-73.987581 40.755746),POINT (-73.904098 40.812118),3587.9951
652,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,362,Middletown Rd (6),40.843863,-73.836322,POINT (-73.977359 40.751992),POINT (-73.836322 40.843863),3580.9978
1431,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,71,8 Av (N),40.635064,-74.011719,POINT (-73.977359 40.751992),POINT (-74.011719 40.635064),3565.8647
80,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,125,Morgan Av (L),40.706152,-73.933147,POINT (-74.007838 40.710089),POINT (-73.933147 40.706152),3565.3604
1689,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,224,57 St (F),40.763972,-73.97745,POINT (-74.007838 40.710089),POINT (-73.97745 40.763972),3562.143
745,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,344,Kingston Av (3),40.669399,-73.942161,POINT (-73.977359 40.751992),POINT (-73.942161 40.669399),3496.7446
271,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,194,111 St (A),40.684331,-73.832163,POINT (-74.007838 40.710089),POINT (-73.832163 40.684331),3492.4014
43,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,155,"Cathedral Pkwy (110 St) (C,B)",40.800603,-73.958161,POINT (-74.007838 40.710089),POINT (-73.958161 40.800603),3481.4321
1795,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,443,Baychester Av (5),40.878663,-73.838591,POINT (-73.977359 40.751992),POINT (-73.838591 40.878663),3476.0136
